"","genus","species","mass.Kg","group.size","nocturnal","DPL.km","infant.carry","leap.pct","swing.pct","OC","arboreal","wooded","home.range","monogamy","syllables_max","rhythm_max"
"Alouatta_caraya","Alouatta","caraya",5.375,14.6,FALSE,0.478,1,0,0,76.5,TRUE,TRUE,NA,FALSE,NA,NA
"Alouatta_palliata","Alouatta","palliata",6.2415,13.1,FALSE,0.39,1,0.039,0.0733333333333333,76.5,TRUE,TRUE,0.4,FALSE,3,0.82
"Alouatta_seniculus","Alouatta","seniculus",6.0865,7.9,FALSE,0.55,1,0.0364,0.0594,67.6,TRUE,TRUE,0.55,FALSE,2.2,0.5
"Aotus_trivirgatus","Aotus","trivirgatus",0.7745,2.5,TRUE,0.252,1,0.2,0,67.5,TRUE,TRUE,NA,TRUE,NA,NA
"Ateles_belzebuth","Ateles","belzebuth",8.07,14.5,FALSE,2.3,1,0.017,0.479666666666667,75,TRUE,TRUE,2.3,FALSE,NA,NA
"Ateles_geoffroyi","Ateles","geoffroyi",7.535,42,FALSE,1.68,1,0.0573,0.2885,79.3,TRUE,TRUE,NA,FALSE,NA,NA
"Ateles_paniscus","Ateles","paniscus",8.775,20,FALSE,2.7,1,0.03066,0.355,79.9,TRUE,TRUE,2.7,FALSE,NA,NA
"Cacajao_calvus","Cacajao","calvus",3.165,39,FALSE,3.75,1,0.27,0,70.7,TRUE,TRUE,NA,FALSE,3.4,0.68
"Callicebus_moloch","Callicebus","moloch",0.988,4.5,FALSE,0.62,1,0.2385,0.0015,85.4,TRUE,TRUE,0.6,TRUE,3,0.76
"Callimico_goeldii","Callimico","goeldii",0.4835,6.85,FALSE,2,1,0.5085,0.015,66.9,TRUE,TRUE,NA,TRUE,2,0.86
"Callithrix_pygmaea","Callithrix","pygmaea",0.116,5.5,FALSE,0.29,NA,0.257333333333333,0.001,63.4,TRUE,TRUE,NA,TRUE,2.2,0.86
"Cebus_albifrons","Cebus","albifrons",2.735,25,FALSE,1.85,1,0.2365,0.004,77.9,TRUE,TRUE,1.85,FALSE,NA,NA
"Cebus_apella","Cebus","apella",3.085,7.9,FALSE,2,1,0.126333333333333,0.0216666666666667,74.95,TRUE,TRUE,2,FALSE,NA,NA
"Cebus_capucinus","Cebus","capucinus",3.11,18.15,FALSE,2,1,0.105,0.0246666666666667,70.65,TRUE,TRUE,2,FALSE,2.6,0.9
"Cercocebus_torquatus","Cercocebus","torquatus",7.485,26.85,FALSE,2.333,1,0.067,0,70.1,FALSE,TRUE,NA,FALSE,NA,NA
"Cercopithecus_ascanius","Cercopithecus","ascanius",3.31,15,FALSE,1.59,1,0.171,0,80.2,TRUE,TRUE,1.5,FALSE,NA,NA
"Cercopithecus_campbelli","Cercopithecus","campbelli",3.6,9,FALSE,1.692,1,0.052,0,71,TRUE,TRUE,NA,FALSE,1.4,0.12
"Cercopithecus_mitis","Cercopithecus","mitis",6.03,20.7,FALSE,1.33,1,0.111,0,73.4,TRUE,TRUE,1.2,FALSE,NA,NA
"Cheirogaleus_medius","Cheirogaleus","medius",0.2825,1,FALSE,0.865,0,0.21,0.11,56.95,TRUE,TRUE,NA,TRUE,NA,NA
"Chiropotes_satanas","Chiropotes","satanas",2.885,15.5,FALSE,2.5,1,0.245333333333333,0.005,71.5,TRUE,TRUE,2.5,FALSE,3.2,0.3
"Chlorocebus_aethiops","Chlorocebus","aethiops",4.24,17.5,FALSE,1.38,NA,0.019,0,82.8,FALSE,FALSE,0.95,FALSE,3.2,0.74
"Colobus_guereza","Colobus","guereza",11.35,7.6,FALSE,0.54,1,0.425,0.00433333333333333,75.8,TRUE,TRUE,0.54,FALSE,2.2,0.58
"Daubentonia_madagascariensis","Daubentonia","madagascariensis",2.555,1,TRUE,2.95,0,0.04,0,54.8,TRUE,TRUE,NA,FALSE,1.8,0.74
"Erythrocebus_patas","Erythrocebus","patas",9.45,31.3,FALSE,3.43,1,0.012,0,82.85,FALSE,FALSE,3.3,FALSE,NA,NA
"Eulemur_coronatus","Eulemur","coronatus",1.18,9.5,FALSE,0.912,1,0.3,0.02,51.7,TRUE,TRUE,NA,FALSE,1.4,0.14
"Eulemur_fulvus","Eulemur","fulvus",1.8,12,TRUE,0.14,1,0.51,0.045,54.35,TRUE,TRUE,0.14,FALSE,NA,NA
"Eulemur_mongoz","Eulemur","mongoz",1.485,2.93,TRUE,0.61,1,0.28,0.04,57.8,TRUE,TRUE,0.61,TRUE,NA,NA
"Eulemur_rubriventer","Eulemur","rubriventer",2.2,3,FALSE,0.444,1,0.38,0,61.1,TRUE,TRUE,NA,TRUE,NA,NA
"Galago_senegalensis","Galago","senegalensis",0.213,3.5,TRUE,2.1,0,0.653333333333333,0.00666666666666667,46.3,TRUE,TRUE,NA,FALSE,3.2,0.92
"Gorilla_gorilla","Gorilla","gorilla",124.6835,6,FALSE,0.7,1,0,0.04,94.05,FALSE,TRUE,0.7,FALSE,2.4,0.88
"Hapalemur_griseus","Hapalemur","griseus",0.945,3.1,FALSE,0.43,1,0.56,0.07,58.15,TRUE,TRUE,NA,TRUE,NA,NA
"Hylobates_agilis","Hylobates","agilis",5.85,4.2,FALSE,1.22,1,0.0933333333333333,0.653333333333333,80.7,TRUE,TRUE,1.22,TRUE,4.8,0.72
"Hylobates_lar","Hylobates","lar",5.62,3.2,FALSE,1.49,1,0.0475,0.661,76.65,TRUE,TRUE,1.5,TRUE,4.4,0.9
"Hylobates_moloch","Hylobates","moloch",6.415,2.15,FALSE,1.4,1,0.192866666666667,0.6099,73.9,TRUE,TRUE,NA,TRUE,NA,NA
"Indri_indri","Indri","indri",6.335,3.1,FALSE,0.25,1,0.81,0,59.2,TRUE,TRUE,0.25,TRUE,4,0.54
"Lagothrix_lagotricha","Lagothrix","lagotricha",7.15,33,FALSE,1,1,0.0433333333333333,0.298333333333333,76.9,TRUE,TRUE,1.3,FALSE,2,0.66
"Lemur_catta","Lemur","catta",2.21,16.45,FALSE,0.95,1,0.22,0.04,55.9,FALSE,TRUE,0.95,FALSE,2.8,0.88
"Leontopithecus_rosalia","Leontopithecus","rosalia",0.605,4.5,FALSE,1.44,1,0.28,0.05,65.6,TRUE,TRUE,NA,TRUE,5.4,0.76
"Lophocebus_albigena","Lophocebus","albigena",7.135,16,FALSE,1.27,1,0,0,81.65,TRUE,TRUE,1.27,FALSE,NA,NA
"Loris_tardigradus","Loris","tardigradus",0.1925,1,TRUE,1.35,1,0,0.3,58,TRUE,TRUE,NA,FALSE,1.8,0.48
"Macaca_nemestrina","Macaca","nemestrina",7.575,22.6,FALSE,2,1,0,0,75,FALSE,TRUE,2,FALSE,2.8,0.82
"Mandrillus_sphinx","Mandrillus","sphinx",22.25,13.9,FALSE,3,1,0,0,75.2,FALSE,TRUE,NA,FALSE,2.6,0.42
"Otolemur_crassicaudatus","Otolemur","crassicaudatus",1.15,3.5,TRUE,1.25,0.5,0.2705,0,56.15,TRUE,TRUE,NA,NA,NA,NA
"Pan_troglodytes","Pan","troglodytes",44.967,50,FALSE,3.05,1,0.00185714285714286,0.0132857142857143,80.3,FALSE,TRUE,3.9,FALSE,3.6,0.86
"Papio_anubis","Papio","anubis",17.825,43,FALSE,3.8,1,0.025,0,82.9,FALSE,FALSE,NA,FALSE,2.6,0.28
"Piliocolobus_badius","Piliocolobus","badius",8.5,34,FALSE,0.58,NA,0.2825,0.00975,79.65,TRUE,TRUE,0.58,FALSE,3.4,0.66
"Pithecia_pithecia","Pithecia","pithecia",1.76,3,FALSE,1.88,1,0.427,0,66.1,TRUE,TRUE,NA,TRUE,4.4,0.66
"Pongo_pygmaeus","Pongo","pygmaeus",56.95,1,FALSE,0.5,1,0.005,0.139,82.65,TRUE,TRUE,0.5,FALSE,4,0.84
"Presbytis_melalophos","Presbytis","melalophos",6.53,14,FALSE,0.88,1,0.347,0.028,90.2,TRUE,TRUE,0.85,NA,NA,NA
"Procolobus_verus","Procolobus","verus",4.45,8.5,FALSE,1.21,1,0.204,0,81.7,TRUE,TRUE,NA,FALSE,NA,NA
"Propithecus_diadema","Propithecus","diadema",6.1,6,FALSE,0.987,1,0.723,0.0133333333333333,62.6,TRUE,TRUE,NA,TRUE,NA,NA
"Propithecus_verreauxi","Propithecus","verreauxi",3.5,6.3,FALSE,0.85,1,0.41,0.075,59.65,TRUE,TRUE,0.85,TRUE,1.8,0.6
"Rhinopithecus_roxellana","Rhinopithecus","roxellana",14.75,65,FALSE,2.1,1,0.1447,0.041,85.55,TRUE,TRUE,NA,FALSE,4.4,0.8
"Saguinus_fuscicollis","Saguinus","fuscicollis",0.3505,6,FALSE,1.32,1,0.329666666666667,0,63.3,TRUE,TRUE,1.3,TRUE,3.6,0.88
"Saguinus_oedipus","Saguinus","oedipus",0.411,7.05,FALSE,1.37,1,0.33,0,74,TRUE,TRUE,2.06,TRUE,2.6,0.82
"Saimiri_boliviensis","Saimiri","boliviensis",0.9,54,FALSE,2.1,1,0.2063,0.003,81.7,TRUE,TRUE,NA,FALSE,NA,NA
"Saimiri_oerstedii","Saimiri","oerstedii",0.7885,25.1,FALSE,3.35,1,0.14425,0.0055,72.4,TRUE,TRUE,3.35,FALSE,NA,NA
"Saimiri_sciureus","Saimiri","sciureus",0.7895,34.85,FALSE,1.5,1,0.246333333333333,0.0113333333333333,68.35,TRUE,TRUE,1.5,FALSE,4.2,0.88
"Symphalangus_syndactylus","Symphalangus","syndactylus",11.3,3.8,FALSE,0.86,NA,0.016,0.5895,74.8,TRUE,TRUE,0.86,TRUE,4.6,0.68
"Tarsius_bancanus","Tarsius","bancanus",0.1225,1,TRUE,1.8,0,0.673666666666667,0.00333333333333333,49.4,TRUE,TRUE,NA,TRUE,NA,NA
"Tarsius_syrichta","Tarsius","syrichta",0.1255,1,TRUE,1.118,0,0.575,0,50.05,TRUE,TRUE,NA,FALSE,3,0.76
"Tarsius_tarsier","Tarsius","tarsier",0.1165,3,TRUE,0.448,NA,0.63,0,56.55,TRUE,TRUE,NA,TRUE,4.8,0.84
"Theropithecus_gelada","Theropithecus","gelada",15.35,10,FALSE,2.5,1,0,0,85.95,FALSE,FALSE,2.5,FALSE,2.4,0.68
"Varecia_variegata","Varecia","variegata",3.49,2.8,FALSE,1.7175,0,0.322,0.0825,53.75,TRUE,TRUE,NA,TRUE,3,0.84
